,Phase,SetSize,FBand,Cluster,Participant,Power
0,id,1,delta,Frontal,F12F2,1.0437693052465649e-07
1,id,1,delta,Frontal,F12M1,1.1578337655753053e-06
2,id,1,delta,Frontal,F19M1,1.4541738529387206e-08
3,id,1,delta,Frontal,F26F2,1.7503253097927847e-07
4,id,1,delta,Frontal,F5M1,1.2085977826646217e-05
5,id,1,delta,Frontal,M22F2,1.6276409691201964e-07
6,id,1,delta,Frontal,M8M1,1.3914177620870836e-07
7,id,1,delta,Frontal,M8M2,4.216988027294556e-07
8,id,1,delta,Frontal,S20M1,7.362329514854611e-08
9,id,1,delta,Frontal,S21F1,9.807892702978528e-08
10,id,1,delta,Frontal,T11F1,4.96262106321751e-08
11,id,1,delta,Frontal,T16F2,4.136976304540716e-08
12,id,1,delta,Frontal,T18F2,1.1157008700115057e-07
13,id,1,delta,Frontal,T18M1,5.6321327651725745e-08
14,id,1,delta,Frontal,T23F1,2.5888186572601157e-07
15,id,1,delta,Frontal,T23F2,2.2496255150500998e-07
16,id,1,delta,Frontal,T25F1,2.3370608206970152e-07
17,id,1,delta,Frontal,T9F2,2.6782860107679777e-07
18,id,1,delta,Frontal,W10F2,1.0742210621731458e-07
19,id,1,delta,Frontal,W17M2,4.835347544496189e-08
20,id,1,delta,Central,F12F2,3.4730857251964164e-08
21,id,1,delta,Central,F12M1,1.4477019424121567e-07
22,id,1,delta,Central,F19M1,1.245974044114547e-08
23,id,1,delta,Central,F26F2,3.903479800702491e-08
24,id,1,delta,Central,F5M1,1.2208187393430486e-05
25,id,1,delta,Central,M22F2,2.962100189221352e-08
26,id,1,delta,Central,M8M1,2.8851952242875796e-08
27,id,1,delta,Central,M8M2,5.8453944861277994e-08
28,id,1,delta,Central,S20M1,2.371079779505813e-08
29,id,1,delta,Central,S21F1,3.0509334588011185e-08
30,id,1,delta,Central,T11F1,3.6571086815312667e-08
31,id,1,delta,Central,T16F2,2.5003682674406883e-08
32,id,1,delta,Central,T18F2,4.067174428094903e-08
33,id,1,delta,Central,T18M1,1.7355064802386545e-08
34,id,1,delta,Central,T23F1,8.590417223316366e-08
35,id,1,delta,Central,T23F2,4.237934767370155e-08
36,id,1,delta,Central,T25F1,3.998103805962865e-08
37,id,1,delta,Central,T9F2,6.090531022100667e-08
38,id,1,delta,Central,W10F2,4.7510819386607185e-08
39,id,1,delta,Central,W17M2,3.067348458136211e-08
40,id,1,delta,Temporal,F12F2,2.0232227335359897e-08
41,id,1,delta,Temporal,F12M1,1.2762306191047115e-07
42,id,1,delta,Temporal,F19M1,7.829758392499269e-09
43,id,1,delta,Temporal,F26F2,3.3511201620737815e-08
44,id,1,delta,Temporal,F5M1,1.2099947236786213e-05
45,id,1,delta,Temporal,M22F2,2.309137700954593e-08
46,id,1,delta,Temporal,M8M1,1.703224605834304e-08
47,id,1,delta,Temporal,M8M2,4.565871668110117e-08
48,id,1,delta,Temporal,S20M1,1.5313855843249818e-08
49,id,1,delta,Temporal,S21F1,1.862332196738034e-08
50,id,1,delta,Temporal,T11F1,2.4190740826317715e-08
51,id,1,delta,Temporal,T16F2,2.0625237334539395e-08
52,id,1,delta,Temporal,T18F2,3.71673947338051e-08
53,id,1,delta,Temporal,T18M1,1.6595889181103985e-08
54,id,1,delta,Temporal,T23F1,6.878695162638715e-08
55,id,1,delta,Temporal,T23F2,2.3396680392096192e-08
56,id,1,delta,Temporal,T25F1,3.211005725110416e-08
57,id,1,delta,Temporal,T9F2,4.0544078478164115e-08
58,id,1,delta,Temporal,W10F2,3.0664119420393765e-08
59,id,1,delta,Temporal,W17M2,1.976995644035177e-08
60,id,1,delta,Parietal,F12F2,2.1369356389335864e-08
61,id,1,delta,Parietal,F12M1,4.8775854874442774e-08
62,id,1,delta,Parietal,F19M1,1.088114424692056e-08
63,id,1,delta,Parietal,F26F2,2.344064088120677e-08
64,id,1,delta,Parietal,F5M1,1.2207810124671582e-05
65,id,1,delta,Parietal,M22F2,1.929968114189133e-08
66,id,1,delta,Parietal,M8M1,1.409120298394775e-08
67,id,1,delta,Parietal,M8M2,2.5497286293720154e-08
68,id,1,delta,Parietal,S20M1,1.4533592045213097e-08
69,id,1,delta,Parietal,S21F1,1.9146704512316967e-08
70,id,1,delta,Parietal,T11F1,2.7818975657861414e-08
71,id,1,delta,Parietal,T16F2,1.9217094102556125e-08
72,id,1,delta,Parietal,T18F2,3.253366150174563e-08
73,id,1,delta,Parietal,T18M1,1.01060109849927e-08
74,id,1,delta,Parietal,T23F1,5.334313999631149e-08
75,id,1,delta,Parietal,T23F2,2.8953794217513216e-08
76,id,1,delta,Parietal,T25F1,1.9028724129561173e-08
77,id,1,delta,Parietal,T9F2,3.973528429348804e-08
78,id,1,delta,Parietal,W10F2,3.568506183215613e-08
79,id,1,delta,Parietal,W17M2,2.1342759648309218e-08
80,id,1,delta,Occipital,F12F2,1.6855127219602985e-08
81,id,1,delta,Occipital,F12M1,2.406606375072817e-08
82,id,1,delta,Occipital,F19M1,8.399980307930886e-09
83,id,1,delta,Occipital,F26F2,1.773131916986707e-08
84,id,1,delta,Occipital,F5M1,1.2188398605016257e-05
85,id,1,delta,Occipital,M22F2,1.7411432618319435e-08
86,id,1,delta,Occipital,M8M1,1.0031990730276568e-08
87,id,1,delta,Occipital,M8M2,1.786053552473648e-08
88,id,1,delta,Occipital,S20M1,1.0565478101008531e-08
89,id,1,delta,Occipital,S21F1,1.7511111643601093e-08
90,id,1,delta,Occipital,T11F1,2.589557302740758e-08
91,id,1,delta,Occipital,T16F2,1.8538074225261114e-08
92,id,1,delta,Occipital,T18F2,3.394003998901078e-08
93,id,1,delta,Occipital,T18M1,7.409500157739543e-09
94,id,1,delta,Occipital,T23F1,4.387818216807317e-08
95,id,1,delta,Occipital,T23F2,3.070669462379322e-08
96,id,1,delta,Occipital,T25F1,1.4759646823313124e-08
97,id,1,delta,Occipital,T9F2,3.2435947755621906e-08
98,id,1,delta,Occipital,W10F2,3.0510501922698226e-08
99,id,1,delta,Occipital,W17M2,1.5966520829259806e-08
100,id,1,delta,All,F12F2,4.8045712474907636e-08
101,id,1,delta,All,F12M1,3.936873196489678e-07
102,id,1,delta,All,F19M1,1.1733787358373515e-08
103,id,1,delta,All,F26F2,7.086439034850256e-08
104,id,1,delta,All,F5M1,1.216305528473526e-05
105,id,1,delta,All,M22F2,6.268549664365665e-08
106,id,1,delta,All,M8M1,5.325396111591048e-08
107,id,1,delta,All,M8M2,1.4763485957400506e-07
108,id,1,delta,All,S20M1,3.345220929155589e-08
109,id,1,delta,All,S21F1,4.447846561334162e-08
