,Phase,SetSize,FBand,Cluster,Participant,Power
0,id,1,delta,Frontal,F12F2,5.123032060186651
1,id,1,delta,Frontal,F12M1,129.27003613189274
2,id,1,delta,Frontal,F19M1,1.1797935027862936
3,id,1,delta,Frontal,F26F2,24.838843585568934
4,id,1,delta,Frontal,F5M1,1.0472023050149837
5,id,1,delta,Frontal,M22F2,10.798063820600563
6,id,1,delta,Frontal,M8M1,1.4867996386442748
7,id,1,delta,Frontal,M8M2,14.720492104241485
8,id,1,delta,Frontal,S20M1,5.686196974599613
9,id,1,delta,Frontal,S21F1,7.217685324202798
10,id,1,delta,Frontal,T11F1,1.6920074056058438
11,id,1,delta,Frontal,T16F2,2.7125714776944645
12,id,1,delta,Frontal,T18F2,1.2136705787145072
13,id,1,delta,Frontal,T18M1,3.6701306050448324
14,id,1,delta,Frontal,T23F1,0.9268006138779894
15,id,1,delta,Frontal,T23F2,4.931030250101524
16,id,1,delta,Frontal,T25F1,19.288194568341037
17,id,1,delta,Frontal,T9F2,18.78783158976043
18,id,1,delta,Frontal,W10F2,4.14163786046387
19,id,1,delta,Frontal,W17M2,6.400424423126915
20,id,1,delta,Central,F12F2,3.1821298502535957
21,id,1,delta,Central,F12M1,16.163605351128624
22,id,1,delta,Central,F19M1,1.3540163007779304
23,id,1,delta,Central,F26F2,3.486850884315023
24,id,1,delta,Central,F5M1,1.1659780423082702
25,id,1,delta,Central,M22F2,2.0473568744140604
26,id,1,delta,Central,M8M1,1.2300043253507813
27,id,1,delta,Central,M8M2,2.6842997482646536
28,id,1,delta,Central,S20M1,2.6647719047681147
29,id,1,delta,Central,S21F1,2.5821911070058583
30,id,1,delta,Central,T11F1,1.3899090659325466
31,id,1,delta,Central,T16F2,1.9078550629758253
32,id,1,delta,Central,T18F2,1.1665593958684803
33,id,1,delta,Central,T18M1,2.193148415763913
34,id,1,delta,Central,T23F1,0.9801117259778185
35,id,1,delta,Central,T23F2,1.8180053740415352
36,id,1,delta,Central,T25F1,3.6997348375570867
37,id,1,delta,Central,T9F2,3.3316374251970973
38,id,1,delta,Central,W10F2,1.861032519397787
39,id,1,delta,Central,W17M2,2.117772331458961
40,id,1,delta,Temporal,F12F2,3.5528842825882787
41,id,1,delta,Temporal,F12M1,22.46641756504866
42,id,1,delta,Temporal,F19M1,1.1867038730072703
43,id,1,delta,Temporal,F26F2,4.24873192311447
44,id,1,delta,Temporal,F5M1,1.1822962435326287
45,id,1,delta,Temporal,M22F2,2.3261461730819106
46,id,1,delta,Temporal,M8M1,1.2490895608866408
47,id,1,delta,Temporal,M8M2,3.636624949166462
48,id,1,delta,Temporal,S20M1,2.8895930459505004
49,id,1,delta,Temporal,S21F1,2.4248272081518376
50,id,1,delta,Temporal,T11F1,1.5631220367667893
51,id,1,delta,Temporal,T16F2,2.3764926285700443
52,id,1,delta,Temporal,T18F2,1.057082583338347
53,id,1,delta,Temporal,T18M1,1.7790028810059466
54,id,1,delta,Temporal,T23F1,1.0104588927472948
55,id,1,delta,Temporal,T23F2,2.0310486464214814
56,id,1,delta,Temporal,T25F1,3.921278821609073
57,id,1,delta,Temporal,T9F2,3.173078988825553
58,id,1,delta,Temporal,W10F2,2.1063312255203472
59,id,1,delta,Temporal,W17M2,2.687306864379007
60,id,1,delta,Parietal,F12F2,2.9935826889598336
61,id,1,delta,Parietal,F12M1,8.198540453235331
62,id,1,delta,Parietal,F19M1,1.46089579016634
63,id,1,delta,Parietal,F26F2,2.4024394075165865
64,id,1,delta,Parietal,F5M1,1.1463655537209279
65,id,1,delta,Parietal,M22F2,1.6320056275456976
66,id,1,delta,Parietal,M8M1,1.2808165464819639
67,id,1,delta,Parietal,M8M2,1.9701736537202434
68,id,1,delta,Parietal,S20M1,2.4574213780603515
69,id,1,delta,Parietal,S21F1,2.19414487373349
70,id,1,delta,Parietal,T11F1,1.6618944987920927
71,id,1,delta,Parietal,T16F2,1.94301980211529
72,id,1,delta,Parietal,T18F2,1.5942028091088838
73,id,1,delta,Parietal,T18M1,1.7519349820494554
74,id,1,delta,Parietal,T23F1,1.1504542083430773
75,id,1,delta,Parietal,T23F2,1.4320527979247726
76,id,1,delta,Parietal,T25F1,2.421416844990094
77,id,1,delta,Parietal,T9F2,2.6058867156893952
78,id,1,delta,Parietal,W10F2,1.5913945516431118
79,id,1,delta,Parietal,W17M2,1.7311206740881417
80,id,1,delta,Occipital,F12F2,2.3756347678693066
81,id,1,delta,Occipital,F12M1,4.028757679539723
82,id,1,delta,Occipital,F19M1,1.338935808696933
83,id,1,delta,Occipital,F26F2,2.0280045873967896
84,id,1,delta,Occipital,F5M1,1.1424745156856089
85,id,1,delta,Occipital,M22F2,1.5494964588449767
86,id,1,delta,Occipital,M8M1,1.273561890332385
87,id,1,delta,Occipital,M8M2,1.7590822281695757
88,id,1,delta,Occipital,S20M1,2.864744938139106
89,id,1,delta,Occipital,S21F1,2.2343045533061416
90,id,1,delta,Occipital,T11F1,1.9529484340736374
91,id,1,delta,Occipital,T16F2,1.88193798517228
92,id,1,delta,Occipital,T18F2,1.8707986411621453
93,id,1,delta,Occipital,T18M1,1.643842888224682
94,id,1,delta,Occipital,T23F1,1.2419459547327238
95,id,1,delta,Occipital,T23F2,1.221086741229436
96,id,1,delta,Occipital,T25F1,1.902401401435542
97,id,1,delta,Occipital,T9F2,2.5322249654151125
98,id,1,delta,Occipital,W10F2,1.5550974907899728
99,id,1,delta,Occipital,W17M2,1.6499795714328582
100,id,1,delta,All,F12F2,3.5956598654836642
101,id,1,delta,All,F12M1,45.16634300725287
102,id,1,delta,All,F19M1,1.3107509272813052
103,id,1,delta,All,F26F2,9.158828830365707
104,id,1,delta,All,F5M1,1.127555125984247
105,id,1,delta,All,M22F2,4.381640180110132
106,id,1,delta,All,M8M1,1.3216502299844137
107,id,1,delta,All,M8M2,5.844504533930294
108,id,1,delta,All,S20M1,3.4787183655650193
109,id,1,delta,All,S21F1,3.740784343421895
110,id,1,delta,All,T11F1,1.6202311373740228
111,id,1,delta,All,T16F2,2.177531060354536
112,id,1,delta,All,T18F2,1.3562088722969907
113,id,1,delta,All,T18M1,2.400076784868862
114,id,1,delta,All,T23F1,1.0406270309706582
115,id,1,delta,All,T23F2,2.5442969675331226
116,id,1,delta,All,T25F1,7.582258339466791
117,id,1,delta,All,T9F2,7.4048266783556524
118,id,1,delta,All,W10F2,2.4200532685703253
119,id,1,delta,All,W17M2,3.183080643639093
120,id,1,theta,Frontal,F12F2,2.8294889181525864
121,id,1,theta,Frontal,F12M1,19.968480486459168
122,id,1,theta,Frontal,F19M1,1.3868198697286538
123,id,1,theta,Frontal,F26F2,14.401298948688138
124,id,1,theta,Frontal,F5M1,0.9433204931258018
125,id,1,theta,Frontal,M22F2,5.853546658394351
126,id,1,theta,Frontal,M8M1,1.5789213296368811
127,id,1,theta,Frontal,M8M2,4.552801156250587
128,id,1,theta,Frontal,S20M1,2.640372073028565
129,id,1,theta,Frontal,S21F1,4.391136896170234
130,id,1,theta,Frontal,T11F1,1.2169295246890046
131,id,1,theta,Frontal,T16F2,2.2887277995221678
132,id,1,theta,Frontal,T18F2,1.2841207534159556
133,id,1,theta,Frontal,T18M1,4.854101022995452
134,id,1,theta,Frontal,T23F1,1.1985715346415164
135,id,1,theta,Frontal,T23F2,2.5984289069541036
136,id,1,theta,Frontal,T25F1,6.4188238305381
137,id,1,theta,Frontal,T9F2,13.37917233155746
138,id,1,theta,Frontal,W10F2,1.7866726082791706
139,id,1,theta,Frontal,W17M2,4.3187733440243665
140,id,1,theta,Central,F12F2,1.7231147865821201
141,id,1,theta,Central,F12M1,3.6852151663465595
142,id,1,theta,Central,F19M1,1.4635154874739627
143,id,1,theta,Central,F26F2,2.4974502623347354
144,id,1,theta,Central,F5M1,0.972531730482759
145,id,1,theta,Central,M22F2,1.4283671499171375
146,id,1,theta,Central,M8M1,1.2636545247511277
147,id,1,theta,Central,M8M2,1.1492576095606597
148,id,1,theta,Central,S20M1,1.6379662657932978
149,id,1,theta,Central,S21F1,2.1185013777754538
150,id,1,theta,Central,T11F1,1.2223677326502458
151,id,1,theta,Central,T16F2,1.8789370116852822
152,id,1,theta,Central,T18F2,1.061359982835858
153,id,1,theta,Central,T18M1,2.053446970398752
154,id,1,theta,Central,T23F1,0.7779304087910979
155,id,1,theta,Central,T23F2,0.8941379125547135
156,id,1,theta,Central,T25F1,1.918200591764651
157,id,1,theta,Central,T9F2,2.060335373637334
158,id,1,theta,Central,W10F2,1.051466046867314
159,id,1,theta,Central,W17M2,1.904912735536071
160,id,1,theta,Temporal,F12F2,1.5998322539774623
161,id,1,theta,Temporal,F12M1,4.348909614799533
162,id,1,theta,Temporal,F19M1,1.3436583446188306
163,id,1,theta,Temporal,F26F2,2.7866065234717445
164,id,1,theta,Temporal,F5M1,0.972571309504191
165,id,1,theta,Temporal,M22F2,1.8040513789163448
166,id,1,theta,Temporal,M8M1,1.3418232822077965
167,id,1,theta,Temporal,M8M2,1.3631564318239344
168,id,1,theta,Temporal,S20M1,1.500220228186331
169,id,1,theta,Temporal,S21F1,1.8559483885028667
170,id,1,theta,Temporal,T11F1,1.3531017095235975
171,id,1,theta,Temporal,T16F2,2.3954571865925818
172,id,1,theta,Temporal,T18F2,1.0103324114249355
173,id,1,theta,Temporal,T18M1,1.8652061795455677
174,id,1,theta,Temporal,T23F1,0.8876383550438007
175,id,1,theta,Temporal,T23F2,1.1295963550741572
176,id,1,theta,Temporal,T25F1,2.080266520012267
177,id,1,theta,Temporal,T9F2,2.1854792908987224
