,Phase,SetSize,FBand,Cluster,Participant,Power
0,id,1,delta,Frontal,F12F2,5.83818472523554
1,id,1,delta,Frontal,F12M1,122.09084512894411
2,id,1,delta,Frontal,F19M1,1.3378837921359916
3,id,1,delta,Frontal,F26F2,15.319998006079507
4,id,1,delta,Frontal,F5M1,1.1641825387913234
5,id,1,delta,Frontal,M22F2,8.58170997772944
6,id,1,delta,Frontal,M8M1,1.2343902002128935
7,id,1,delta,Frontal,M8M2,11.141801536526797
8,id,1,delta,Frontal,S20M1,5.665017676497638
9,id,1,delta,Frontal,S21F1,5.722681498287874
10,id,1,delta,Frontal,T11F1,1.3900030934575025
11,id,1,delta,Frontal,T16F2,2.496902509464722
12,id,1,delta,Frontal,T18F2,0.9342793970214807
13,id,1,delta,Frontal,T18M1,4.251547374439849
14,id,1,delta,Frontal,T23F1,0.8932696555241714
15,id,1,delta,Frontal,T23F2,2.560850152312689
16,id,1,delta,Frontal,T25F1,24.595631049381094
17,id,1,delta,Frontal,T9F2,11.783235621151423
18,id,1,delta,Frontal,W10F2,3.5103512790125313
19,id,1,delta,Frontal,W17M2,3.961252830792395
20,id,1,delta,Central,F12F2,3.5499650828173754
21,id,1,delta,Central,F12M1,15.065701148978965
22,id,1,delta,Central,F19M1,1.4920797890254685
23,id,1,delta,Central,F26F2,2.7431609432940087
24,id,1,delta,Central,F5M1,1.3533328609791315
25,id,1,delta,Central,M22F2,1.7261333909264505
26,id,1,delta,Central,M8M1,1.2191349176124142
27,id,1,delta,Central,M8M2,2.1396736736363895
28,id,1,delta,Central,S20M1,2.9069929257530824
29,id,1,delta,Central,S21F1,2.397447485032944
30,id,1,delta,Central,T11F1,1.5042196621527124
31,id,1,delta,Central,T16F2,1.8636918868837347
32,id,1,delta,Central,T18F2,1.1307233201789981
33,id,1,delta,Central,T18M1,2.629358128665954
34,id,1,delta,Central,T23F1,1.0640814973667982
35,id,1,delta,Central,T23F2,1.0153069775569687
36,id,1,delta,Central,T25F1,4.118696813612006
37,id,1,delta,Central,T9F2,3.6028203336346585
38,id,1,delta,Central,W10F2,1.7307876740441535
39,id,1,delta,Central,W17M2,2.1351192287585596
40,id,1,delta,Temporal,F12F2,4.127684663923025
41,id,1,delta,Temporal,F12M1,21.344551997549882
42,id,1,delta,Temporal,F19M1,1.463620554005791
43,id,1,delta,Temporal,F26F2,3.6116459985777842
44,id,1,delta,Temporal,F5M1,1.4064075646795569
45,id,1,delta,Temporal,M22F2,2.128374805095984
46,id,1,delta,Temporal,M8M1,1.2150234885200382
47,id,1,delta,Temporal,M8M2,2.810314059200448
48,id,1,delta,Temporal,S20M1,3.2511820006008247
49,id,1,delta,Temporal,S21F1,2.3361784954141207
50,id,1,delta,Temporal,T11F1,1.5276519196240232
51,id,1,delta,Temporal,T16F2,2.1297073729834626
52,id,1,delta,Temporal,T18F2,1.3468950586031865
53,id,1,delta,Temporal,T18M1,2.0111568939108646
54,id,1,delta,Temporal,T23F1,1.1285096019885181
55,id,1,delta,Temporal,T23F2,1.1512724846183569
56,id,1,delta,Temporal,T25F1,4.6015506249178175
57,id,1,delta,Temporal,T9F2,3.530579069024317
58,id,1,delta,Temporal,W10F2,2.157344710460567
59,id,1,delta,Temporal,W17M2,2.688809779403987
60,id,1,delta,Parietal,F12F2,3.270919640293896
61,id,1,delta,Parietal,F12M1,7.879192992503464
62,id,1,delta,Parietal,F19M1,1.6243425493179784
63,id,1,delta,Parietal,F26F2,2.1623185748746896
64,id,1,delta,Parietal,F5M1,1.3133239638061716
65,id,1,delta,Parietal,M22F2,1.4687934793045034
66,id,1,delta,Parietal,M8M1,1.282658097527358
67,id,1,delta,Parietal,M8M2,1.7256699758147083
68,id,1,delta,Parietal,S20M1,2.847619384642475
69,id,1,delta,Parietal,S21F1,2.206952644553947
70,id,1,delta,Parietal,T11F1,1.7446390158884186
71,id,1,delta,Parietal,T16F2,1.9709173991594207
72,id,1,delta,Parietal,T18F2,1.911708645097735
73,id,1,delta,Parietal,T18M1,2.052459945803475
74,id,1,delta,Parietal,T23F1,1.2936711045679972
75,id,1,delta,Parietal,T23F2,1.0324711474714947
76,id,1,delta,Parietal,T25F1,2.5026959474292214
77,id,1,delta,Parietal,T9F2,3.0054571514434945
78,id,1,delta,Parietal,W10F2,1.6581959979502847
79,id,1,delta,Parietal,W17M2,1.8759656289768627
80,id,1,delta,Occipital,F12F2,2.3298153615352697
81,id,1,delta,Occipital,F12M1,4.153435223391801
82,id,1,delta,Occipital,F19M1,1.3736089144160526
83,id,1,delta,Occipital,F26F2,2.0345237459936167
84,id,1,delta,Occipital,F5M1,1.311530714363239
85,id,1,delta,Occipital,M22F2,1.3214160288138308
86,id,1,delta,Occipital,M8M1,1.271941199308515
87,id,1,delta,Occipital,M8M2,1.6032399671985247
88,id,1,delta,Occipital,S20M1,3.0017297928803472
89,id,1,delta,Occipital,S21F1,2.2351679151075627
90,id,1,delta,Occipital,T11F1,1.9721413375966885
91,id,1,delta,Occipital,T16F2,1.9239138677875285
92,id,1,delta,Occipital,T18F2,2.4366464367560776
93,id,1,delta,Occipital,T18M1,1.8714979007719819
94,id,1,delta,Occipital,T23F1,1.3426087543570864
95,id,1,delta,Occipital,T23F2,1.134044805038723
