,Phase,SetSize,FBand,Cluster,Participant,Power
0,id,1,delta,Frontal,F12F2,1.2981872301456373e-07
1,id,1,delta,Frontal,F12M1,1.214520491836873e-06
2,id,1,delta,Frontal,F19M1,1.3583842322359463e-08
3,id,1,delta,Frontal,F26F2,3.560512664355031e-07
4,id,1,delta,Frontal,F5M1,9.967973882843565e-06
5,id,1,delta,Frontal,M22F2,2.518008861500048e-07
6,id,1,delta,Frontal,M8M1,1.5353577177116222e-07
7,id,1,delta,Frontal,M8M2,6.408549323871234e-07
8,id,1,delta,Frontal,S20M1,6.903936651585034e-08
9,id,1,delta,Frontal,S21F1,1.0761404488788502e-07
10,id,1,delta,Frontal,T11F1,5.310053725613145e-08
11,id,1,delta,Frontal,T16F2,4.567600347308589e-08
12,id,1,delta,Frontal,T18F2,1.787426082999105e-07
13,id,1,delta,Frontal,T18M1,5.652073623313218e-08
14,id,1,delta,Frontal,T23F1,2.56944040024772e-07
15,id,1,delta,Frontal,T23F2,4.020267239618598e-07
16,id,1,delta,Frontal,T25F1,2.0115629981307643e-07
17,id,1,delta,Frontal,T9F2,2.774173732887122e-07
18,id,1,delta,Frontal,W10F2,1.4604592694487121e-07
19,id,1,delta,Frontal,W17M2,6.311355190027072e-08
20,id,1,delta,Central,F12F2,3.592022574441333e-08
21,id,1,delta,Central,F12M1,1.5796881779698352e-07
22,id,1,delta,Central,F19M1,1.129901161339358e-08
23,id,1,delta,Central,F26F2,5.6000682239591446e-08
24,id,1,delta,Central,F5M1,1.0048411069726899e-05
25,id,1,delta,Central,M22F2,4.0039054865946494e-08
26,id,1,delta,Central,M8M1,2.8606971029255783e-08
27,id,1,delta,Central,M8M2,7.514022195354094e-08
28,id,1,delta,Central,S20M1,2.2613102302261598e-08
29,id,1,delta,Central,S21F1,3.028305928434677e-08
30,id,1,delta,Central,T11F1,3.326328579514921e-08
31,id,1,delta,Central,T16F2,2.6304243469287355e-08
32,id,1,delta,Central,T18F2,3.8090613786420586e-08
33,id,1,delta,Central,T18M1,1.63541682070292e-08
34,id,1,delta,Central,T23F1,7.626232497312767e-08
35,id,1,delta,Central,T23F2,6.406451626524732e-08
36,id,1,delta,Central,T25F1,3.7494602170213585e-08
37,id,1,delta,Central,T9F2,5.1940905625691824e-08
38,id,1,delta,Central,W10F2,4.684777973823106e-08
39,id,1,delta,Central,W17M2,2.7714431624761004e-08
40,id,1,delta,Temporal,F12F2,1.972287509856391e-08
41,id,1,delta,Temporal,F12M1,1.3289507600780748e-07
42,id,1,delta,Temporal,F19M1,6.4227896186786686e-09
43,id,1,delta,Temporal,F26F2,4.6320781289630656e-08
44,id,1,delta,Temporal,F5M1,9.937447898603424e-06
45,id,1,delta,Temporal,M22F2,2.806288437307827e-08
46,id,1,delta,Temporal,M8M1,1.7507046352580952e-08
47,id,1,delta,Temporal,M8M2,6.047534777488499e-08
48,id,1,delta,Temporal,S20M1,1.3699071238708504e-08
49,id,1,delta,Temporal,S21F1,1.830355210888366e-08
50,id,1,delta,Temporal,T11F1,2.3070048626729832e-08
51,id,1,delta,Temporal,T16F2,2.2799823304568165e-08
52,id,1,delta,Temporal,T18F2,3.093142189130861e-08
53,id,1,delta,Temporal,T18M1,1.608825543796509e-08
54,id,1,delta,Temporal,T23F1,5.991247186418763e-08
55,id,1,delta,Temporal,T23F2,3.666996160146405e-08
56,id,1,delta,Temporal,T25F1,2.8141301641140394e-08
57,id,1,delta,Temporal,T9F2,3.4216359055778865e-08
58,id,1,delta,Temporal,W10F2,3.039990413469638e-08
59,id,1,delta,Temporal,W17M2,1.8381384843311436e-08
60,id,1,delta,Parietal,F12F2,2.1608975668397845e-08
61,id,1,delta,Parietal,F12M1,5.24727922028775e-08
62,id,1,delta,Parietal,F19M1,9.69266725112124e-09
63,id,1,delta,Parietal,F26F2,2.8338961619435056e-08
64,id,1,delta,Parietal,F5M1,1.0075909515142314e-05
65,id,1,delta,Parietal,M22F2,2.2339745329146076e-08
66,id,1,delta,Parietal,M8M1,1.3245007508274987e-08
67,id,1,delta,Parietal,M8M2,2.9189168554154644e-08
68,id,1,delta,Parietal,S20M1,1.313605341986983e-08
69,id,1,delta,Parietal,S21F1,1.8804745043151084e-08
70,id,1,delta,Parietal,T11F1,2.5700143690197933e-08
71,id,1,delta,Parietal,T16F2,1.945954245744129e-08
72,id,1,delta,Parietal,T18F2,2.6114466366339607e-08
73,id,1,delta,Parietal,T18M1,9.198639583332747e-09
74,id,1,delta,Parietal,T23F1,4.450710012969792e-08
75,id,1,delta,Parietal,T23F2,3.50794053203571e-08
76,id,1,delta,Parietal,T25F1,1.904642279943732e-08
